X1,X2,X3,Y
2.0,2.2,5.35,1.02
3.0,3.2,6.35,2.02
4.0,4.2,7.35,3.02
5.0,5.2,8.35,4.02
6.0,6.2,9.35,5.02
7.0,7.2,10.35,6.02
8.0,8.2,11.35,7.02
9.0,9.2,12.35,8.02
10.0,10.2,13.35,9.02
11.0,11.2,14.35,10.02
12.0,12.2,15.35,11.02
13.0,13.2,16.35,12.02
14.0,14.2,17.35,13.02
15.0,15.2,18.35,14.02
16.0,16.2,19.35,15.02
17.0,17.2,20.35,16.02
18.0,18.2,21.35,17.02
19.0,19.2,22.35,18.02
20.0,20.2,23.35,19.02
21.0,21.2,24.35,20.02
22.0,22.2,25.35,21.02
23.0,23.2,26.35,22.02
24.0,24.2,27.35,23.02
25.0,25.2,28.35,24.02
26.0,26.2,29.35,25.02
27.0,27.2,30.35,26.02
28.0,28.2,31.35,27.02
29.0,29.2,32.35,28.02
30.0,30.2,33.35,29.02
31.0,31.2,34.35,30.02
32.0,32.2,35.35,31.02
33.0,33.2,36.35,32.02
34.0,34.2,37.35,33.02
35.0,35.2,38.35,34.02
36.0,36.2,39.35,35.02
37.0,37.2,40.35,36.02
38.0,38.2,41.35,37.02
39.0,39.2,42.35,38.02
40.0,40.2,43.35,39.02
41.0,41.2,44.35,40.02
42.0,42.2,45.35,41.02
43.0,43.2,46.35,42.02
44.0,44.2,47.35,43.02
45.0,45.2,48.35,44.02
46.0,46.2,49.35,45.02
47.0,47.2,50.35,46.02
48.0,48.2,51.35,47.02
49.0,49.2,52.35,48.02
50.0,50.2,53.35,49.02
